ID,Name,"Stay, BlackScreen: DurTime / Look, Move: TargetPos / Move: TargetID",Move: TargetType,Move: TargetPos(FromTarget)
0,Stay,0.5,,
1,Stay,1,,
2,Stay,1.5,,
3,Stay,2,,
4,Stay,2.5,,
5,Stay,3,,
6,Look,0/1,,
7,Look,1/1,,
8,Look,1/0,,
9,Look,1/-1,,
10,Look,0/-1,,
11,Look,-1/-1,,
12,Look,-1/0,,
13,Look,-1/1,,
14,BlackScreenIn,1,,
15,BlackScreenIn,1.5,,
16,BlackScreenIn,2,,
17,BlackScreenIn,2.5,,
18,BlackScreenIn,3,,
19,BlackScreenOut,1,,
20,BlackScreenOut,1.5,,
21,BlackScreenOut,2,,
22,BlackScreenOut,2.5,,
23,BlackScreenOut,3,,
24,Move,0,NPC,-1/0
25,Move,-1,None,-1/0
26,Dialogue,0,,
