ID,Eng,Kor
0,ST_Desc00,돌격병이 전투에 투입합니다.\n(돌격병 총 1명)
1,ST_Desc01,돌격병이 전투에 투입합니다.\n(돌격병 총 2명)
2,ST_Desc02,돌격병이 전투에 투입합니다.\n(돌격병 총 3명)
3,ST_Desc03,모든 동료 팀들의 공격력이 10% 상승합니다.
4,ST_Desc04,모든 동료 팀들의 공격력이 30% 상승합니다.
5,ST_Desc05,모든 동료 팀들의 공격력이 60% 상승합니다.
6,ST_Desc06,모든 동료 팀들의 공격력이 100% 상승합니다.
7,ST_Desc07,모든 동료 팀들의 공격력이 150% 상승합니다.
8,ST_Desc08,모든 동료 팀들의 공격속도가 10% 상승합니다.
9,ST_Desc09,모든 동료 팀들의 공격속도가 30% 상승합니다.
10,ST_Desc10,모든 동료 팀들의 공격속도가 60% 상승합니다.
11,ST_Desc11,모든 동료 팀들의 공격속도가 100% 상승합니다.
12,ST_Desc12,모든 동료 팀들의 공격속도가 150% 상승합니다.
