ID,Index,0,1
0,0,Provides a little guidance to the base attack.,기본 공격에 유도 기능을 조금 부여합니다.
0,1,Provides a little more guidance to the base attack.,기본 공격에 유도 성능을 조금 더 부여합니다.
0,2,Provides strong guidance to the underlying attack.,기본 공격에 유도 기능을 강하게 부여합니다.
1,0,aaa,ㄱㄱㄱ
1,1,bbb,ㄴㄴㄴ
1,2,ccc,ㄷㄷㄷ
2,0,aaa,ㄱㄱㄱ
2,1,bbb,ㄴㄴㄴ
2,2,ccc,ㄷㄷㄷ
3,0,aaa,ㄱㄱㄱ
3,1,bbb,ㄴㄴㄴ
3,2,ccc,ㄷㄷㄷ
4,0,aaa,ㄱㄱㄱ
4,1,bbb,ㄴㄴㄴ
4,2,ccc,ㄷㄷㄷ
5,0,aaa,ㄱㄱㄱ
5,1,bbb,ㄴㄴㄴ
5,2,ccc,ㄷㄷㄷ
6,0,aaa,ㄱㄱㄱ
6,1,bbb,ㄴㄴㄴ
6,2,ccc,ㄷㄷㄷ
7,0,aaa,ㄱㄱㄱ
7,1,bbb,ㄴㄴㄴ
7,2,ccc,ㄷㄷㄷ
8,0,aaa,ㄱㄱㄱ
8,1,bbb,ㄴㄴㄴ
8,2,ccc,ㄷㄷㄷ
