ID,0,1
0,Upgrade maximum energy points. Used as a vitality. <size=75%>(+N)</size>,에너지 최대치를 증가. 생명력으로도 사용. <size=75%>(+N)</size>
1,It's a multiple of the EP you get When you acquire Joules. <size=75%>(+%)</size>,줄을 획득할 시 회복하는 에너지의 양. <size=75%>(+%)</size>
2,A multiple that reduces the amount of EP consumed by skill usage. <size=75%>(-%)</size>,스킬에 사용되는 에너지를 감소. <size=75%>(-%)</size>
3,The amount of EP used per second for the boost level. It applies to all levels equally. <size=75%>(-%)</size>,부스트 레벨에 따른 에너지 소비량 감소. 모든 레벨에서 적용. <size=75%>(-%)</size>
4,Reduce damage. <size=75%>(-%)</size>,받는 데미지를 감소. <size=75%>(-%)</size>
5,This is the speed of the basic movement. <size=75%>(+N)</size>,기본 이동 속도. <size=75%>(+N)</size>
6,It's a reduced multiple of the speed at the time of shooting. It's calculated as a multiple of the basic speed. <size=75%>(+%)</size>,사격 시 속도의 감소 배율. 기본 속도의 배율로 계산. <size=75%>(+%)</size>
7,Increase the probability of evading an attack. <size=75%>(+%)</size>,회피 확률 증가. <size=75%>(+%)</size>
8,It's Dash power. Speed and instantaneous travel distance. Dash cannot be stopped in the middle. <size=75%>(+N)</size>,대시 파워. 속도 및 순간 이동 거리. 대시는 중간에 중지 불가. <size=75%>(+N)</size>
9,Basic damage given to enemies. This goes into sum and is calculated as the first of all operations. <size=75%>(+N)</size>,기본 피해량. 합산되며 모든 연산 중 가장 먼저 계산. <size=75%>(+N)</size>
10,It means Rate of Fire. It is the default attack that fires per second and it applies at the speed at which both sides fire at once. <size=75%>(+N)</size>,연사 속도. 초당 기본 공격 횟수이며 양측이 동시에 발사하는 속도에 적용. <size=75%>(+N)</size>
11,Increase the probability of a Critical Chance. <size=75%>(+%)</size>,치명타 확률 증가. <size=75%>(+%)</size>
12,Increase the multiple of the Critical Damage. <size=75%>(+%)</size>,치명타 피해 증가. <size=75%>(+%)</size>
13,Muzzle speed refers to the speed at which a bullet travels. <size=75%>(+N)</size>,탄속 증가. 탄환이 이동하는 속도. <size=75%>(+N)</size>
14,It means Accuracy Rate and the higher the Aim attacks in the desired direction. <size=75%>(+%)</size>,명중률 증가. 값이 높을수록 정확한 방향으로 발사. <size=75%>(+%)</size>
15,It means the power of KnockBack and the enemy is pushed harder. <size=75%>(+N)</size>,넉백력 증가. 값이 높을수록 적이 더 강하게 넉백. <size=75%>(+N)</size>
16,Interaction is Limited.,상호작용이 제한.
17,!!! you will not be able to interact with this shop If you close this window now. You can interact other shop. !!!,!!! 지금 이 창을 끄면 더 이상 이 상점은 방문 불가. 다른 상점 이용 가능. !!!
18,You can only View the Information.,지금 상점은 정보만 확인 가능.
19,You are only allowed to Equip or Unequip.,지금 상점은 장착과 장착 해제만 가능.
20,This Module is Equipped.,모듈은 이미 장착 중.
21,Not the same Rank.,다른 랭크 상호작용.
22,Not Enough Materials.,재료가 부족.
23,It's already at the Maximum.,이미 최대치.
24,Decompose the module. Obtain Module Shard and Battery Shard as rewards.,모듈을 분해. 보상으로 모듈 조각과 배터리 조각을 획득.
25,Rank up the module in slot 1. Destroy the module in slot 2. Module Shards are required as materials.,1번 슬롯에 있는 모듈을 랭크 업. 2번 슬롯에 있는 모듈은 파괴. 모듈 조각이 재료로 필요.
26,Fabricating a new module using materials.,재료를 사용해 새로운 모듈을 조립 제작.
27,Inventory full.,인벤토리 공간 부족.
28,Unlock required\n<size=150%>within Time Limit</size>,제한 시간 안에\n<size=150%>잠금 해제 필요</size>
29,Success\n<size=150%>No Penalty</size>,성공\n<size=150%>패널티 없음</size>
30,Failure\n<size=150%>Time Reduction</size>,실패\n<size=150%>시간 감소</size>
31,There are unsaved changes. they won't be applied If you close this window now,변동 사항이 있습니다. 이대로 창을 닫을 경우에 적용되지 않습니다.
32,Instead you get hacked If you fail.\nYou lose 20% each of\n<size=150%><b>Credits\nOverriders\nModule Shards\nEP</b></size>.,실패하게 된다면 반대로 해킹을 당합니다.\n<size=150%><b>크레딧\n오버라이더\n모듈조각\nEP</b></size>\n모두 20%씩 잃습니다.
33,Rotate the boxes to connect the lines\nand complete the puzzle.,박스를 돌려 선을 연결시키고\n완성시키세요.
34,Complete the correct combination\nof Shape / Color / Amount.,모양 / 색상 / 양의 조합식을\n올바르게 완성시키세요. 
35,Press the buttons in the correct sequence\nto complete the puzzle.,올바른 순서를 찾아서 버튼을\n순서대로 입력해 완성시키세요.
36,System Compromised,시스템 해킹 당함
37,You lose\n20% each of\nCredits / Overriders / Module Shards / EP.,크레딧 / 오버라이드 / 모듈 조각 / EP\n모두 20%씩\n잃었습니다.
