ID,Desc/InputOrInstruc,,
0,0,You can move your character in multiple directions.,캐릭터를 여러방향으로 움직일 수 있습니다.
0,1,[W/A/S/D],[W/A/S/D]
1,0,You can move your character quickly in an instant.<el>It consumes a certain amount of energy.,캐릭터를 순간적으로 빠르게 움직일 수 있습니다.<el>에너지를 일정 값 소모합니다.
1,1,[Space Bar],[스페이스 바]
2,0,Attacks the character's unique default attack.<el>No consumption values or reloads exist.,캐릭터의 고유 기본 공격을 가합니다.<el>소모 값이나 재장전은 존재하지 않습니다.
2,1,[Mouse Left Click],[마우스 왼쪽 클릭]
3,0,Use your skills to launch a powerful attack or earn buffs.<el>It consumes a certain amount of energy.,스킬을 사용해 강력한 공격을 가하거나 버프를 획득하세요.<el>에너지를 일정 값 소모합니다.
3,1,[Q/E],[Q/E]
4,0,Interact and take action that fits a particular element.,상호작용을 하여 특정 요소에 맞는 행동을 취하세요.
4,1,[F],[F]
