ID,Name,이름
0,Liam,리엄
1,Noah,노아
2,Oliver,올리버
3,Elijah,엘라이저
4,James,제임스
5,William,윌리엄
6,Benjamin,벤자민
7,Lucas,루카스
8,Henry,헨리
9,Alexander,알렉산더
10,Mason,메이슨
11,Michael,마이클
12,Ethan,에단
13,Daniel,다니엘
14,Jacob,제이콥
15,Logan,로건
16,Jackson,잭슨
17,Levi,리바이
18,Sebastian,세바스찬
19,Mateo,마테오
20,Jack,잭
21,Owen,오웬
22,Theodore,시어도어
23,Aiden,에이든
24,Samuel,사무엘
25,Joseph,조셉
26,John,존
27,David,데이빗
28,Wyatt,와이어트
29,Matthew,메튜
30,Luke,루크
31,Asher,애셔
32,Carter,카터
33,Julian,줄리안
34,Grayson,그레이슨
35,Leo,레오
36,Jayden,제이든
37,Gabriel,가브리엘
38,Isaac,아이작
39,Lincoln,링컨
40,Anthony,앤서니
41,Hudson,허드슨
42,Dylan,딜런
43,Ezra,에즈라
44,Thomas,토마스
45,Charles,찰스
46,Christopher,크리스토퍼
48,Maverick,매버릭
49,Josiah,조시아
50,Emma,엠마
51,Olivia,올리비아
52,Ava,에바
53,Isabella,이사벨라
54,Sophia,소피아
55,Charlotte,샬럿
56,Amelia,아멜리아
57,Mia,미아
58,Harper,하퍼
59,Evelyn,에벌린
60,Abigail,아비게일
61,Ella,엘라
62,Scarlett,스칼렛
63,Grace,그레이스
64,Chloe,클로이
65,Camila,카밀라
66,Penelope,페넬로페
67,Riley,라일리
68,Layla,레일라
69,Lillian,릴리언
70,Nora,노라
71,Zoey,조이
72,Mila,밀라
73,Aubrey,오레이
74,Hannah,한나
75,Lily,릴리
76,Addison,에디슨
77,Eleanor,엘레노어
78,Natalie,나탈리
79,Luna,루나
80,Savannah,사바나
81,Brooklyn,브루클린
82,Leah,리아
83,Zoe,조
84,Stella,스텔라
85,Hazel,헤이즐
86,Ellie,엘리
87,Paisley,페이즐리
88,Audrey,오드레이
89,Skylar,스칼라
90,Violet,바이올렛
91,Claire,클레어
92,Bella,벨라
93,Aurora,오로라
94,Lucy,루시
95,Anna,안나
96,Caroline,케롤라인
97,Genesis,제네시스
98,Kennedy,케네디
99,Samantha,사만다
