ID,Eng,Kor
0,ST_Name00,돌격병 지원 I
1,ST_Name01,돌격병 지원 II
2,ST_Name02,돌격병 지원 III
3,ST_Name03,화약 개량 I
4,ST_Name04,화약 개량 II
5,ST_Name05,화약 개량 III
6,ST_Name06,화약 개량 IV
7,ST_Name07,화약 개량 V
8,ST_Name08,윤활제 개량 I
9,ST_Name09,윤활제 개량 II
10,ST_Name10,윤활제 개량 III
11,ST_Name11,윤활제 개량 IV
12,ST_Name12,윤활제 개량 V
13,ST_Name13,이동 터보 I
14,ST_Name14,이동 터보 II
15,ST_Name15,이동 터보 III
16,ST_Name16,이동 터보 IV
17,ST_Name17,이동 터보 V
18,ST_Name18,확장된 탄두 I
19,ST_Name19,확장된 탄두 II
20,ST_Name20,확장된 탄두 III
21,ST_Name21,확장된 탄두 IV
22,ST_Name22,확장된 탄두 V
23,ST_Name23,약점 투시 I
24,ST_Name24,약점 투시 II
25,ST_Name25,약점 투시 III
26,ST_Name26,약점 투시 IV
27,ST_Name27,약점 투시 V
28,ST_Name28,파쇄탄 I
29,ST_Name29,파쇄탄 II
30,ST_Name30,파쇄탄 III
31,ST_Name31,파쇄탄 IV
32,ST_Name32,파쇄탄 V
