ID,0,1
0,Module,모듈
1,Gate,게이트
2,Shop,상점
3,Next Stage,다음 스테이지
4,Enable,활성화
5,Disable,비활성화
6,Inoperable,불가능
7,None,값  없음
8,Max EP,최대 에너지
9,Movement,이동 속도
10,Dash Power,대시 파워
11,Dash Cost,대시 비용
12,Damage,공격력
13,Rate of Fire,연사력
14,Accuracy,정확도
15,Critical Chance,치명타 확률
16,Critical Damage,치명타 배수
17,Tier,티어
18,Power,파워
19,Resume,계속하기
20,Option,설정
21,Quit,나가기
22,Standby,대기 모드
23,Durablity,내구도
24,Broken,부서짐
25,Rank,랭크
26,Base Upgrade,기본 강화
27,Module Upgrade,모듈 강화
28,Back,나가기
29,Attack,공격
30,Energy Point,에너지
31,Movement,이동
32,Equip,장착
33,Forge,재련
34,Level,레벨
35,Value,값
36,Avoid Chance,회피율
37,Resist,저항율
38,Storage Efficiency,저장 효율
39,Skill Cost,스킬 비용
40,Speed,속도
41,Shooting Speed,사격 중 속도
42,Consumption Efficiency,소비 효율
43,Muzzle Speed,탄속
44,Knockback,넉백
45,Cooltime,쿨타임
46,Need,필요
47,Buy,구매
48,Complete,완료
49,Boost,부스트
50,Synchrony,동기화
51,Decomposition,분해
52,Fusion,합성
53,Fabricate,조립
54,Engaged,활성화
55,Disengaged,비활성화
56,Repair,수리
57,Reroll,리롤
58,Upgrade,업그레이드
